GameState, Visists, blacksturn
[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.][48, 118, 95, 71, 118, 94, 186, 140, 49, 72, 25, 164, 209, 118, 117, 95, 25, 0, 118, 94, 71, 163, 25, 117, 71, 50]False
[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  1. 0.  0.  0.  0.  0.  0.  0.][68, 90, 157, 135, 68, 112, 135, 157, 134, 68, 113, 69, 0, 90, 24, 91, 179, 0, 157, 91, 69, 113, 90, 90, 68, 71]True
[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  1.  1. 0.  0.  0.  0.  0.  0.  0.][65, 107, 108, 107, 108, 65, 86, 171, 86, 65, 86, 129, 0, 129, 150, 86, 0, 0, 150, 86, 66, 44, 108, 128, 86, 68]False
[ 0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0. -1.  0.  0.  0.  1.  1. 0.  0.  0.  0.  0.  0.  0.][83, 183, 102, 102, 123, 62, 163, 0, 142, 62, 82, 83, 0, 203, 143, 42, 0, 0, 102, 82, 63, 102, 63, 102, 62, 23]True
[ 0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0. -1.  1.  0.  0.  1.  1. 0.  0.  0.  0.  0.  0.  0.][79, 193, 78, 98, 98, 117, 79, 0, 78, 78, 78, 288, 0, 0, 155, 97, 0, 0, 59, 97, 79, 98, 79, 78, 59, 42]False
[ 0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0. -1. -1.  1.  0.  0.  1.  1. 0.  0.  0.  0.  0.  0.  0.][74, 111, 219, 74, 20, 147, 110, 0, 129, 110, 128, 0, 0, 0, 147, 129, 0, 0, 57, 164, 75, 129, 56, 75, 110, 21]True
[ 0.  0.  1.  0.  0.  0.  0. -1.  0.  0.  0. -1. -1.  1.  0.  0.  1.  1. 0.  0.  0.  0.  0.  0.  0.][53, 122, 0, 122, 87, 122, 70, 0, 224, 155, 122, 0, 0, 0, 105, 121, 0, 0, 173, 139, 71, 19, 36, 88, 36, 56]False
[ 0.  0.  1.  0.  0.  0.  0. -1. -1.  0.  0. -1. -1.  1.  0.  0.  1.  1. 0.  0.  0.  0.  0.  0.  0.][67, 115, 0, 131, 67, 50, 82, 0, 0, 243, 115, 0, 0, 0, 98, 147, 0, 0, 147, 99, 66, 82, 115, 50, 83, 70]True
[ 0.  0.  1.  0.  0.  0.  0. -1. -1.  1.  0. -1. -1.  1.  0.  0.  1.  1. 0.  0.  0.  0.  0.  0.  0.][152, 197, 0, 47, 47, 76, 122, 0, 0, 0, 152, 0, 0, 0, 153, 107, 0, 0, 257, 77, 46, 78, 92, 62, 17, 50]False
[ 0.  0.  1.  0.  0.  0.  0. -1. -1.  1.  0. -1. -1.  1.  0.  0.  1.  1. -1.  0.  0.  0.  0.  0.  0.][30, 30, 0, 128, 87, 44, 157, 0, 0, 0, 101, 0, 0, 0, 101, 129, 0, 0, 0, 185, 185, 86, 30, 143, 157, 62]True
[ 0.  0.  1.  0.  0.  0.  0. -1. -1.  1.  0. -1. -1.  1.  0.  0.  1.  1. -1.  1.  0.  0.  0.  0.  0.][15, 54, 0, 55, 54, 143, 52, 0, 0, 0, 118, 0, 0, 0, 290, 53, 0, 0, 0, 0, 28, 80, 28, 66, 67, 28]False
[ 0.  0.  1.  0.  0.  0.  0. -1. -1.  1.  0. -1. -1.  0. -1.  0.  1.  1. -1.  1.  0.  0.  0.  0.  0.][66, 181, 0, 181, 67, 207, 103, 0, 0, 0, 130, 0, 0, 0, 0, 206, 0, 0, 0, 0, 41, 131, 41, 52, 94, 58]True
[ 0.  0.  1.  0.  0.  0.  0. -1. -1.  1.  0. -1. -1.  0. -1.  1.  1.  1. -1.  1.  0.  0.  0.  0.  0.][38, 74, 0, 157, 104, 74, 121, 0, 0, 0, 110, 0, 0, 86, 0, 0, 0, 0, 0, 0, 50, 39, 50, 48, 104, 27]False
[ 0.  0.  1. -1.  0.  0.  0. -1. -1.  1.  0. -1. -1.  0. -1.  1.  1.  1. -1.  1.  0.  0.  0.  0.  0.][43, 34, 0, 0, 0, 52, 33, 0, 0, 0, 102, 0, 0, 158, 0, 0, 0, 0, 0, 0, 43, 22, 62, 102, 55, 14]True
[ 0.  0.  1. -1.  0.  0.  0. -1. -1.  1.  0. -1. -1.  1.  0.  1.  1.  1. -1.  1.  0.  0.  0.  0.  0.][99, 60, 0, 0, 89, 121, 110, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 56, 132, 155, 77, 61]False
[ 0.  0.  1. -1.  0.  0.  0. -1. -1.  1.  0. -1. -1.  1.  0.  1.  1.  1. -1.  1.  0.  0.  0. -1.  0.][12, 23, 0, 0, 31, 12, 12, 0, 0, 0, 12, 0, 0, 0, 23, 0, 0, 0, 0, 0, 12, 22, 11, 0, 12, 13]True
[ 0.  1.  1. -1.  0.  0.  0. -1. -1.  1.  0. -1. -1.  1.  0.  1.  1.  1. -1.  1.  0.  0.  0. -1.  0.][11, 0, 0, 0, 29, 30, 21, 0, 0, 0, 37, 0, 0, 0, 120, 0, 0, 0, 0, 0, 37, 54, 39, 0, 32, 22]False
[ 0.  1.  1. -1.  0.  0.  0. -1. -1.  1.  0. -1. -1.  0. -1.  1.  1.  1. -1.  1.  0.  0.  0. -1.  0.][40, 0, 0, 0, 0, 38, 19, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 32, 54, 0, 0, 28]True
[ 0.  1.  1. -1.  0.  0.  0. -1. -1.  1.  1. -1. -1.  0. -1.  1.  1.  1. -1.  1.  0.  0.  0. -1.  0.][16, 0, 0, 0, 27, 32, 8, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 24, 8, 24, 0, 27, 9]False
[ 0.  1.  1. -1.  0. -1.  0. -1. -1.  1.  1. -1. -1.  0. -1.  1.  1.  1. -1.  1.  0.  0.  0. -1.  0.][43, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 25, 24, 55, 0, 0, 16]True
[ 0.  1.  1. -1.  0. -1.  0. -1. -1.  1.  1. -1. -1.  1.  0.  1.  1.  1. -1.  1.  0.  0.  0. -1.  0.][51, 0, 0, 0, 44, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 91, 121, 0, 33, 42]False
[ 0.  1.  1. -1.  0. -1.  0. -1. -1.  1.  1. -1. -1.  1.  0.  1.  1.  1. -1.  1.  0.  0. -1. -1.  0.][21, 0, 0, 0, 38, 0, 34, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 14, 24, 0, 0, 44, 16]True
[ 0.  1.  1. -1.  0. -1.  0. -1. -1.  1.  1. -1. -1.  1.  0.  1.  1.  1. -1.  1.  0.  0. -1. -1.  1.][23, 0, 0, 0, 12, 0, 12, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 7, 20, 0, 0, 0, 14]False
[ 0.  1.  1. -1.  0. -1.  0. -1. -1.  1.  1. -1. -1.  0. -1.  1.  1.  1. -1.  0.  0.  0. -1. -1.  0.][34, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 18, 14, 0, 0, 17, 10]True
[ 1.  1.  1. -1.  0. -1.  0. -1. -1.  1.  1. -1. -1.  0. -1.  1.  1.  1. -1.  0.  0.  0. -1. -1.  0.][0, 0, 0, 0, 7, 0, 19, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 25, 13, 12, 0, 0, 18, 7]False
[ 0.  0.  0. -1.  0. -1. -1. -1. -1.  1.  1. -1. -1.  0. -1.  1.  1.  1. -1.  0.  0.  0. -1. -1.  0.][17, 24, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 16, 31, 0, 0, 24, 17]True
[ 0.  0.  0. -1.  0. -1. -1. -1. -1.  1.  1. -1. -1.  0. -1.  1.  1.  1. -1.  0.  0.  1. -1. -1.  0.][14, 19, 14, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0, 13, 7]False
[ 0. -1.  0. -1.  0. -1. -1. -1. -1.  1.  1. -1. -1.  0. -1.  1.  1.  1. -1.  0.  0.  1. -1. -1.  0.][0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 15, 9]True
[ 0. -1.  0. -1.  0. -1. -1. -1. -1.  1.  1. -1. -1.  0. -1.  1.  1.  1. -1.  1.  0.  1. -1. -1.  0.][3, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 9, 3]False
[-1. -1.  0. -1.  0. -1. -1. -1. -1.  1.  1. -1. -1.  0. -1.  1.  1.  1. -1.  1.  0.  1. -1. -1.  0.][0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14]True
[-1. -1.  0. -1.  0. -1. -1. -1. -1.  1.  1. -1. -1.  1.  0.  1.  1.  1. -1.  1.  0.  1. -1. -1.  0.][0, 0, 8, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 5]False
[-1. -1.  0. -1.  0. -1. -1. -1. -1.  1.  0. -1. -1.  1.  0.  0.  0.  0. -1.  1. -1.  0. -1. -1.  0.][0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18, 0, 0, 0, 18, 31, 25, 31, 0, 0, 0, 18, 0, 0, 18, 11]True
[-1. -1.  0. -1.  0. -1. -1. -1. -1.  1.  0. -1. -1.  1.  0.  0.  0.  1. -1.  1. -1.  0. -1. -1.  0.][0, 0, 9, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 15, 7, 16, 0, 0, 0, 0, 16, 0, 0, 16, 9]False
[-1. -1.  0. -1.  0. -1. -1. -1. -1.  1.  0. -1. -1.  0. -1.  0.  0.  1. -1.  1. -1.  0. -1. -1.  0.][0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 26, 18, 0, 0, 0, 0, 14, 0, 0, 0, 10]True
[-1. -1.  0. -1.  0. -1. -1. -1. -1.  1.  0. -1. -1.  0. -1.  1.  0.  1. -1.  1. -1.  0. -1. -1.  0.][0, 0, 6, 0, 13, 0, 0, 0, 0, 0, 12, 0, 0, 5, 0, 0, 12, 0, 0, 0, 0, 12, 0, 0, 13, 6]False
[-1. -1.  0. -1. -1. -1. -1. -1. -1.  0.  0. -1. -1.  0. -1.  1.  0.  1. -1.  1. -1.  0. -1. -1.  0.][0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 12, 0, 0, 0, 9]True
[-1. -1.  0. -1. -1. -1. -1. -1. -1.  0.  0. -1. -1.  0. -1.  1.  1.  1. -1.  1. -1.  0. -1. -1.  0.][0, 0, 4, 0, 0, 0, 0, 0, 0, 10, 9, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 11, 4]False
[-1. -1.  0. -1. -1. -1. -1. -1. -1.  0. -1. -1. -1.  0. -1.  1.  1.  1. -1.  1. -1.  0. -1. -1.  0.][0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7]True
[-1. -1.  0. -1. -1. -1. -1. -1. -1.  0. -1. -1. -1.  0. -1.  1.  1.  1. -1.  1. -1.  0. -1. -1.  0.][0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]False
[-1. -1. -1. -1. -1. -1. -1. -1. -1.  0. -1. -1. -1.  0. -1.  1.  1.  1. -1.  1. -1.  0. -1. -1.  0.][0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 6]True
[-1. -1. -1. -1. -1. -1. -1. -1. -1.  0. -1. -1. -1.  0. -1.  1.  1.  1. -1.  1.  0.  1. -1. -1.  0.][0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 2]False
[-1. -1. -1. -1. -1. -1. -1. -1. -1.  0. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  0.  1. -1. -1.  0.][0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]True
[-1. -1. -1. -1. -1. -1. -1. -1. -1.  0. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  0.  1. -1. -1.  0.][0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]False
[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  0.  1. -1. -1.  0.][0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 4]True
[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1.][106, 90, 53, 106, 89, 54, 89, 54, 105, 107, 72, 105, 174, 140, 71, 0, 0, 0, 140, 0, 0, 0, 88, 123, 0, 58]False
[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  1.  1.  1. 0.  1.  0.  1.  0.  0.  1.][18, 18, 18, 18, 18, 18, 18, 36, 18, 18, 18, 36, 0, 18, 36, 0, 0, 0, 18, 0, 19, 0, 18, 17, 0, 19]True
[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. -1.  0.  0.  1.  1.  1. 0.  1.  0.  1.  0.  0.  1.][78, 48, 79, 63, 78, 78, 139, 153, 78, 64, 50, 0, 0, 124, 78, 0, 0, 0, 95, 0, 0, 0, 47, 33, 0, 51]False
[ 0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  1. -1.  0.  0.  1.  1.  1. 0.  1.  0.  1.  0.  0.  1.][16, 47, 46, 31, 16, 15, 16, 0, 32, 32, 47, 0, 0, 77, 16, 0, 0, 0, 47, 0, 33, 0, 47, 15, 0, 17]True
[ 0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  1. -1.  1.  0.  1.  1.  1. 0.  1.  0.  1.  0.  0.  1.][16, 54, 29, 82, 30, 82, 146, 0, 80, 29, 41, 0, 0, 0, 82, 0, 0, 0, 55, 0, 0, 0, 29, 30, 0, 44]False
[ 0.  0.  0.  0.  0.  0. -1. -1.  0.  0.  0.  1. -1.  1.  0.  1.  1.  1. 0.  1.  0.  1.  0.  0.  1.][14, 14, 14, 27, 14, 27, 0, 0, 14, 13, 14, 0, 0, 0, 28, 0, 0, 0, 28, 0, 15, 0, 27, 25, 0, 15]True
[ 0.  0.  0.  0.  0.  1. -1. -1.  0.  0.  0.  1. -1.  1.  0.  1.  1.  1. 0.  1.  0.  1.  0.  0.  1.][102, 64, 114, 35, 35, 0, 0, 0, 86, 114, 0, 0, 0, 0, 63, 0, 0, 0, 35, 0, 0, 0, 75, 66, 0, 38]False
[ 0.  0.  0.  0.  0.  1. -1. -1.  0. -1.  0.  1. -1.  1.  0.  1.  1.  1. 0.  1.  0.  1.  0.  0.  1.][23, 10, 11, 22, 11, 0, 0, 0, 11, 0, 12, 0, 0, 0, 11, 0, 0, 0, 23, 0, 12, 0, 11, 9, 0, 12]True
[ 0.  0.  0.  0.  0.  1. -1. -1.  0. -1.  0.  1. -1.  1.  0.  1.  1.  1. 0.  1.  0.  1.  0.  0.  1.][1, 1, 1, 1, 13, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]False
